TCGA-BH-A18H,TCGA-E2-A14P,TCGA-AN-A04A,TCGA-5L-AAT1,TCGA-GI-A2C8,TCGA-AQ-A0Y5,TCGA-A8-A07I,TCGA-E9-A1R4,TCGA-AC-A8OP,TCGA-AR-A24Q,TCGA-D8-A1XU,TCGA-AO-A03N
6.2993,6.6933,1.8738,10.7972,10.7808,0.6036,1.0373,2.4782,14.4434,2.5717,0.9262,0.3317
1.7873,0.6275,1.5094,1.2638,0.7355,1.2164,1.3148,1.5936,1.9847,0.9014,2.241,0.4129
6.786,10.1394,8.3385,13.3949,2.8653,23.8283,24.9726,13.2702,11.2211,9.1202,9.2541,3.3861
20.215,23.6044,17.148,21.6653,16.8346,33.58,32.3434,30.9926,21.5736,23.9205,23.7905,15.2391
0.2407,0.4518,0.7939,1.7253,0.4075,0.9175,0.239,5.3718,0.6651,0.5331,6.1095,0.0935
4.8887,3.3179,3.888,7.4684,0.7021,9.9059,6.5687,17.5008,2.6253,7.9285,4.0947,5.1153
34.3621,240.7107,58.3841,39.5494,16.4568,69.5462,52.0414,42.4046,31.3752,51.1392,65.6917,11.8204
16.4289,17.8198,11.5081,22.6092,2.7889,5.3049,13.1188,19.2576,69.3821,12.9959,14.3154,6.6703
9.038,7.9947,10.1703,16.304,4.3638,10.7991,13.7571,15.1465,14.1593,6.9673,12.7944,6.7133
9.6855,7.8801,31.7116,55.1727,38.2217,50.9663,22.3413,15.2196,20.1717,61.969,52.3271,30.0655
31.2274,40.5581,29.073,16.3572,2.6517,47.6435,6.4891,30.2248,146.8728,54.1192,20.6052,35.4578
11.2431,16.3481,8.2432,14.0261,6.0908,10.8985,12.5628,10.4166,10.2419,12.074,10.1341,5.419
21.7173,24.0281,30.6572,18.5885,16.0537,33.5956,41.3581,66.5487,27.1348,55.0162,32.5329,17.4559
6.8999,1.1567,4.4874,8.6686,1.2366,2.6054,2.2708,10.032,54.9629,5.9513,2.0752,0.4673
0.082,0.1321,0.0426,0.1997,0.5423,0.1408,0.0694,0.2065,0.2782,0.0801,0.0238,0.0
0.0,0.1002,0.0189,0.053,0.0262,0.0234,0.2456,0.0274,0.2014,0.1241,0.0316,0.0
7.3987,11.3531,7.4855,10.2108,10.2629,15.7752,12.5914,8.8925,7.4465,18.4974,12.1893,4.344
9.5816,29.7449,29.1107,41.5796,0.7072,28.9711,9.8117,36.8184,6.6615,11.5276,7.6539,14.4359
13.185,9.0578,7.8342,63.5813,7.1567,9.93,8.3461,14.1266,25.4639,7.2609,24.5905,14.7684
0.5239,0.4219,0.577,1.221,3.3118,1.7271,0.8973,1.0177,0.8079,0.768,1.0049,0.3156
23.8409,31.5188,25.9816,20.4978,11.9048,32.9077,50.9063,21.731,48.6185,50.0462,24.5611,19.3464
213.7633,149.4675,124.1929,164.1728,13.0221,135.8958,91.5504,116.6639,124.0149,107.8999,120.8951,118.4203
0.7601,0.4465,0.2466,0.6932,0.2645,0.2916,0.2738,3.4862,0.9578,181.4725,0.263,0.2232
26.4165,17.063,20.4293,23.341,37.5021,98.0472,51.6221,40.4563,33.8306,28.7233,32.152,13.6786
6.3398,7.5165,4.9587,7.0954,2.0251,6.7267,8.499,10.4028,10.5563,2.1518,4.4162,3.3988
10.4865,23.685,13.4672,13.0557,8.7354,16.0602,15.1357,20.1328,10.5615,10.2794,13.8248,1.8587
18.298,30.3339,22.8432,36.2642,14.1092,30.4862,20.9146,24.0914,20.8366,18.3454,15.9941,5.9647
12.2247,7.3726,3.7894,18.3329,0.2856,2.2027,8.643,39.2521,9.9377,9.2159,8.5838,2.5928
